================= Perf Change Summary =================

----------------- Regressions -----------------

----------------- >= 2x slower -----------------
+------------+-----------+------------------+---------------------------------+---------+---------------------+--------------------+--------------------+-----------+-----------------+----------------+-------------------------+
|  Model ID  | Precision |    Component     |              Device             | Runtime | Prev Inference time | New Inference time |     Kx slower      |   Job ID  | Previous Job ID | Compile Job ID | Previous Compile Job ID |
|          eyegaze          |       w8a16       |          EyeGaze          |      Samsung Galaxy S22 5G      |      qnn_dlc       |         -inf        |       1.871        |    inf    | jgk9qzlw5 |       null      |      null      |           null          |
|          eyegaze          |       w8a16       |          EyeGaze          |        Samsung Galaxy S25       |      qnn_dlc       |         -inf        |       0.678        |    inf    | j5md6rvd5 |       null      |      null      |           null          |
|          eyegaze          |       w8a16       |          EyeGaze          |      Snapdragon X Elite CRD     |      qnn_dlc       |         -inf        |       1.487        |    inf    | jp2v98jr5 |       null      |      null      |           null          |
|          eyegaze          |       w8a16       |          EyeGaze          |         QCS8550 (Proxy)         |      qnn_dlc       |         -inf        |       1.299        |    inf    | j577lzkv5 |       null      |      null      |           null          |
|     rangenet_plus_plus    |       float       |     RangeNet-Plus-Plus    |      Snapdragon X Elite CRD     |      qnn_dlc       |         -inf        |       99.544       |    inf    | jpy7jym0p |       null      |      null      |           null          |
|     rangenet_plus_plus    |       float       |     RangeNet-Plus-Plus    |     Snapdragon X2 Elite CRD     |      qnn_dlc       |         -inf        |       49.303       |    inf    | jp84mkxq5 |       null      |      null      |           null          |
|     rangenet_plus_plus    |       float       |     RangeNet-Plus-Plus    |         QCS8550 (Proxy)         |      qnn_dlc       |         -inf        |       102.54       |    inf    | jg9xyqmmg |       null      |      null      |           null          |
|     rangenet_plus_plus    |       float       |     RangeNet-Plus-Plus    |      Samsung Galaxy S22 5G      |      qnn_dlc       |         -inf        |      196.172       |    inf    | j5w13r44g |       null      |      null      |           null          |
|     rangenet_plus_plus    |       float       |     RangeNet-Plus-Plus    |        Samsung Galaxy S24       |      qnn_dlc       |         -inf        |       76.893       |    inf    | jgdzqm265 |       null      |      null      |           null          |
|     rangenet_plus_plus    |       float       |     RangeNet-Plus-Plus    |        Samsung Galaxy S25       |      qnn_dlc       |         -inf        |       59.308       |    inf    | jpxd6zx8g |       null      |      null      |           null          |
|     rangenet_plus_plus    |       float       |     RangeNet-Plus-Plus    |      Dragonwing IQ-9075 EVK     |      qnn_dlc       |         -inf        |      151.158       |    inf    | jp1vwmjnp |       null      |      null      |           null          |
|     rangenet_plus_plus    |       float       |     RangeNet-Plus-Plus    |        Samsung Galaxy S26       |      qnn_dlc       |         -inf        |       42.227       |    inf    | jprn27wk5 |       null      |      null      |           null          |
|       resnet_2plus1d      |        w8a8       |       ResNet-2Plus1D      |      Dragonwing Q-6690 MTP      |       tflite       |         -inf        |      7966.761      |    inf    | jpv9r4e75 |       null      |      null      |           null          |
|         resnet_3d         |       float       |         ResNet-3D         |      Samsung Galaxy S22 5G      |       tflite       |         -inf        |      1625.325      |    inf    | jpxd6q13g |       null      |      null      |           null          |
|        sequencer2d        |       float       |        Sequencer2D        |      Snapdragon X Elite CRD     |      qnn_dlc       |         -inf        |       21.496       |    inf    | j5w1q2mjg |       null      |      null      |           null          |
|        sequencer2d        |       float       |        Sequencer2D        |     Snapdragon X2 Elite CRD     |      qnn_dlc       |         -inf        |       11.815       |    inf    | jgdzoe7l5 |       null      |      null      |           null          |
|        sequencer2d        |       float       |        Sequencer2D        |         QCS8550 (Proxy)         |      qnn_dlc       |         -inf        |       20.399       |    inf    | jprne8995 |       null      |      null      |           null          |
|        sequencer2d        |       float       |        Sequencer2D        |      Samsung Galaxy S22 5G      |      qnn_dlc       |         -inf        |       25.546       |    inf    | jp0vl3eeg |       null      |      null      |           null          |
|        sequencer2d        |       float       |        Sequencer2D        |        Samsung Galaxy S24       |      qnn_dlc       |         -inf        |       14.115       |    inf    | j5qm3e9mg |       null      |      null      |           null          |
|        sequencer2d        |       float       |        Sequencer2D        |        Samsung Galaxy S25       |      qnn_dlc       |         -inf        |       12.127       |    inf    | jp3wevqz5 |       null      |      null      |           null          |
|        sequencer2d        |       float       |        Sequencer2D        |      Dragonwing IQ-9075 EVK     |      qnn_dlc       |         -inf        |       23.759       |    inf    | jpy76rn7p |       null      |      null      |           null          |
|        sequencer2d        |       float       |        Sequencer2D        |        Samsung Galaxy S26       |      qnn_dlc       |         -inf        |        9.18        |    inf    | jgjwezk85 |       null      |      null      |           null          |
|         stereonet         |       float       |         StereoNet         |        Samsung Galaxy S24       |       tflite       |         -inf        |      401.979       |    inf    | jpelw6z8g |       null      |      null      |           null          |
|         yoloe_seg         |        w8a8       |     YOLOE-Segmentation    |        Samsung Galaxy S24       |      qnn_dlc       |         -inf        |       6.104        |    inf    | jpy76q98p |       null      |      null      |           null          |
|         yoloe_seg         |        w8a8       |     YOLOE-Segmentation    |      Snapdragon 7 Gen 4 QRD     |      qnn_dlc       |         -inf        |       14.332       |    inf    | jpelk89og |       null      |      null      |           null          |
|         yoloe_seg         |        w8a8       |     YOLOE-Segmentation    |      Dragonwing IQ-9075 EVK     |      qnn_dlc       |         -inf        |       8.057        |    inf    | jgz4r8kop |       null      |      null      |           null          |
|         yoloe_seg         |        w8a8       |     YOLOE-Segmentation    |        Samsung Galaxy S26       |      qnn_dlc       |         -inf        |       3.411        |    inf    | jgdzo8wr5 |       null      |      null      |           null          |
|         yoloe_seg         |        w8a8       |     YOLOE-Segmentation    |      Samsung Galaxy S22 5G      |      qnn_dlc       |         -inf        |       13.722       |    inf    | j577xkqv5 |       null      |      null      |           null          |
|         yoloe_seg         |        w8a8       |     YOLOE-Segmentation    |        Samsung Galaxy S25       |      qnn_dlc       |         -inf        |        4.94        |    inf    | j5qm3zjng |       null      |      null      |           null          |
|         yoloe_seg         |        w8a8       |     YOLOE-Segmentation    | Dragonwing RB3 Gen 2 Vision Kit |      qnn_dlc       |         -inf        |       45.382       |    inf    | j5md3o2d5 |       null      |      null      |           null          |
|         yoloe_seg         |        w8a8       |     YOLOE-Segmentation    |         QCS8550 (Proxy)         |      qnn_dlc       |         -inf        |       8.886        |    inf    | j56dnrj6p |       null      |      null      |           null          |
|         yoloe_seg         |        w8a8       |     YOLOE-Segmentation    |      Dragonwing Q-6690 MTP      |      qnn_dlc       |         -inf        |      151.534       |    inf    | jgk93onw5 |       null      |      null      |           null          |
|            sam2           |       float       |          decoder          |      Samsung Galaxy S22 5G      |       tflite       |         -inf        |       9.989        |    inf    | jprne68v5 |       null      |   j577084n5    |           null          |
|        whisper_base       |       float       |          decoder          |      Snapdragon X Elite CRD     |      voice_ai      |         -inf        |       4.005        |    inf    | j5qme874g |       null      |   jg9xjxewg    |           null          |
|        whisper_base       |       float       |          decoder          |     Snapdragon X2 Elite CRD     |      voice_ai      |         -inf        |       2.825        |    inf    | jp3wvk4l5 |       null      |   jp49k9085    |           null          |
|        whisper_base       |       float       |          decoder          |         QCS8550 (Proxy)         |      voice_ai      |         -inf        |       4.239        |    inf    | jpxdnve3g |       null      |   jpv907kk5    |           null          |
|        whisper_base       |       float       |          decoder          |      Samsung Galaxy S22 5G      |      voice_ai      |         -inf        |       5.112        |    inf    | jp1vy0d2p |       null      |   jgk979n25    |           null          |
|        whisper_base       |       float       |          decoder          |        Samsung Galaxy S24       |      voice_ai      |         -inf        |       3.385        |    inf    | j5770zjl5 |       null      |   jp3wvw3l5    |           null          |
|        whisper_base       |       float       |          decoder          |        Samsung Galaxy S25       |      voice_ai      |         -inf        |       2.846        |    inf    | jpy7re47p |       null      |   jgjwzwmx5    |           null          |
|        whisper_base       |       float       |          decoder          |      Dragonwing IQ-9075 EVK     |      voice_ai      |         -inf        |       5.046        |    inf    | jp840owk5 |       null      |   j5w12463g    |           null          |
|        whisper_base       |       float       |          decoder          |        Samsung Galaxy S26       |      voice_ai      |         -inf        |       2.693        |    inf    | jp840o3x5 |       null      |   jg9xjxelg    |           null          |
|   whisper_large_v3_turbo  |       float       |          decoder          |      Snapdragon X Elite CRD     |      voice_ai      |         -inf        |       8.516        |    inf    | jp3w1nqz5 |       null      |   jpy7r8yrp    |           null          |
|   whisper_large_v3_turbo  |       float       |          decoder          |     Snapdragon X2 Elite CRD     |      voice_ai      |         -inf        |       5.293        |    inf    | jpelwo40g |       null      |   jpv902n75    |           null          |
|   whisper_large_v3_turbo  |       float       |          decoder          |         QCS8550 (Proxy)         |      voice_ai      |         -inf        |       9.697        |    inf    | jp2v9xj45 |       null      |   jp1vyokkp    |           null          |
